MCM_DECISION | long_score=-0.9564 short_score=-0.5580 memory_center=-1.7293 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.3999 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.9676 short_score=-0.4538 memory_center=-0.8391 memory_strength=29 self_state=stressed attractor=defense felt_bearing_score=0.6071 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.1721 short_score=-2.6958 memory_center=0.6656 memory_strength=26 self_state=stressed attractor=cooperate felt_bearing_score=0.6139 felt_profile_label=mixed_unclear best_score=1.1721 reject_reason=-
MCM_DECISION | long_score=-1.2112 short_score=-0.0614 memory_center=0.2024 memory_strength=19 self_state=stressed attractor=cooperate felt_bearing_score=0.6119 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-2.8753 short_score=0.8972 memory_center=-2.0508 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.5973 felt_profile_label=mixed_unclear best_score=0.8972 reject_reason=-
MCM_DECISION | long_score=-2.7847 short_score=0.9712 memory_center=-1.3247 memory_strength=34 self_state=stressed attractor=defense felt_bearing_score=0.5920 felt_profile_label=recovering best_score=0.9712 reject_reason=-
MCM_DECISION | long_score=1.5285 short_score=-3.0212 memory_center=1.2089 memory_strength=25 self_state=stressed attractor=neutral felt_bearing_score=0.6172 felt_profile_label=mixed_unclear best_score=1.5285 reject_reason=-
MCM_DECISION | long_score=0.6138 short_score=-2.0885 memory_center=-1.3152 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.5976 felt_profile_label=mixed_unclear best_score=0.6138 reject_reason=-
MCM_DECISION | long_score=-2.4168 short_score=0.4067 memory_center=-1.5792 memory_strength=34 self_state=stressed attractor=defense felt_bearing_score=0.6035 felt_profile_label=mixed_unclear best_score=0.4067 reject_reason=-
MCM_DECISION | long_score=-0.6404 short_score=-0.9158 memory_center=-1.3979 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.6065 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.1357 short_score=-2.5372 memory_center=1.1484 memory_strength=30 self_state=stressed attractor=cooperate felt_bearing_score=0.6000 felt_profile_label=recovering best_score=1.1357 reject_reason=-
MCM_DECISION | long_score=-2.1008 short_score=0.8383 memory_center=2.3117 memory_strength=37 self_state=stressed attractor=explore felt_bearing_score=0.5993 felt_profile_label=mixed_unclear best_score=0.8383 reject_reason=-
MCM_DECISION | long_score=-1.6349 short_score=0.5595 memory_center=0.4541 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.5916 felt_profile_label=mixed_unclear best_score=0.5595 reject_reason=-
MCM_DECISION | long_score=-1.7258 short_score=-0.1153 memory_center=-2.4799 memory_strength=41 self_state=stressed attractor=defense felt_bearing_score=0.5941 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.3058 short_score=-1.0516 memory_center=-2.3437 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.6074 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.4147 short_score=-0.4909 memory_center=-1.9116 memory_strength=34 self_state=stressed attractor=defense felt_bearing_score=0.6118 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
