MCM_DECISION | long_score=-1.6798 short_score=0.4405 memory_center=1.5214 memory_strength=31 self_state=stressed attractor=neutral felt_bearing_score=0.6099 felt_profile_label=mixed_unclear best_score=0.4405 reject_reason=-
MCM_DECISION | long_score=-0.7467 short_score=-0.7545 memory_center=-2.2600 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.6090 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.1914 short_score=0.6479 memory_center=1.1682 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.6012 felt_profile_label=mixed_unclear best_score=0.6479 reject_reason=-
MCM_DECISION | long_score=0.1483 short_score=-1.3770 memory_center=0.2790 memory_strength=30 self_state=stressed attractor=cooperate felt_bearing_score=0.5970 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1027 short_score=-0.9871 memory_center=-2.4822 memory_strength=47 self_state=stressed attractor=defense felt_bearing_score=0.6181 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-1.9945 short_score=0.3240 memory_center=-2.1675 memory_strength=36 self_state=stressed attractor=defense felt_bearing_score=0.6276 felt_profile_label=mixed_unclear best_score=0.3240 reject_reason=-
MCM_DECISION | long_score=-0.3726 short_score=-1.3874 memory_center=-2.1774 memory_strength=57 self_state=stressed attractor=defense felt_bearing_score=0.3882 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.1505 short_score=0.9265 memory_center=1.4150 memory_strength=21 self_state=stressed attractor=neutral felt_bearing_score=0.6208 felt_profile_label=mixed_unclear best_score=0.9265 reject_reason=-
MCM_DECISION | long_score=0.0391 short_score=-1.4797 memory_center=-1.1089 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.6079 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.9498 short_score=-0.1142 memory_center=1.5571 memory_strength=28 self_state=stressed attractor=neutral felt_bearing_score=0.6171 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.2895 short_score=-2.1991 memory_center=2.2814 memory_strength=40 self_state=stressed attractor=explore felt_bearing_score=0.6023 felt_profile_label=mixed_unclear best_score=0.2895 reject_reason=-
MCM_DECISION | long_score=0.2607 short_score=-1.7687 memory_center=2.2549 memory_strength=35 self_state=stressed attractor=explore felt_bearing_score=0.3843 felt_profile_label=mixed_unclear best_score=0.2607 reject_reason=-
MCM_DECISION | long_score=-0.7506 short_score=-0.6888 memory_center=0.1074 memory_strength=17 self_state=stressed attractor=cooperate felt_bearing_score=0.6163 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-2.8867 short_score=1.0959 memory_center=-0.8877 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.3802 felt_profile_label=mixed_unclear best_score=1.0959 reject_reason=-
MCM_DECISION | long_score=1.2735 short_score=-2.9080 memory_center=-2.3650 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.6039 felt_profile_label=mixed_unclear best_score=1.2735 reject_reason=-
MCM_DECISION | long_score=-0.5703 short_score=-0.3196 memory_center=0.0375 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.6017 felt_profile_label=recovering best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-0.2201 short_score=-1.0113 memory_center=2.2930 memory_strength=26 self_state=stressed attractor=explore felt_bearing_score=0.6083 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.7034 short_score=-0.1603 memory_center=0.0439 memory_strength=41 self_state=stressed attractor=cooperate felt_bearing_score=0.3665 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-0.1126 short_score=-1.4236 memory_center=-2.4733 memory_strength=43 self_state=stressed attractor=defense felt_bearing_score=0.6207 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
