section;elapsed_ms;extra
apply_runtime_result.total;3.5743;decision_tendency=observe|runtime_tick_seq=234
step_mcm_brain.cluster_detect_snapshot;3.9999;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.5118;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1090;active=0.9353
step_mcm_brain.primary_field_step;68.2645;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.5443;agents=230|neighbors=8
step_mcm_brain.total;92.3186;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.8879;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1116;active=0.9192
step_mcm_brain.cluster_detect_snapshot;3.9770;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.0884;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.0140;decision_tendency=observe
step_mcm_brain.primary_field_step;50.7565;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9181;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;15.9060;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4577;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1064;active=0.9339
step_mcm_brain.primary_field_step;67.5349;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9570;agents=230|neighbors=8
compute_runtime_result.total;77.5868;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;0.3154;agents=230
apply_runtime_result.total;3.3265;decision_tendency=observe|runtime_tick_seq=247
step_mcm_brain.cluster_detect_snapshot;3.8389;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8901;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.5938;decision_tendency=hold
step_mcm_brain.primary_field_step;54.8280;agents=230|dims=3
write_runtime_snapshot_payload.total;25.7491;kind=inner|keys=41|path=debug\debug_lauf_15\bot_inner_snapshot.json
step_mcm_brain.primary_field_step;71.2540;agents=230|dims=3
mcm_field.step.sync_neurons;1.3330;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.6417;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4601;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1064;active=0.9297
apply_runtime_result.refresh_active_context_trace;0.1063;active=0.9329
compute_runtime_result.total;0.2371;decision_tendency=hold|active_trade=True
apply_runtime_result.refresh_active_context_trace;0.1519;active=0.9339
step_mcm_brain.cluster_detect_pre_memory;4.1540;clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.8839;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1097;active=0.9309
step_mcm_brain.cluster_detect_pre_memory;0.0658;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4132;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.5990;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4729;agents=230|dims=3
